haircolor;hairpattern;sex;weight;age;foodtype;name
black;solid;female;5.4;5;dry;Noodle
black;solid;male;5.2;6;dry;Leo
brown;tipped;male;5;8;dry;Rusty
black;tipped;female;6.7;3;dry;Jasmine
black;tabby;male;5.1;4;wet;Monkey
red;solid;male;4.7;9;wet;Elvis
black;tabby;male;6.3;7;dry;Buster
black;solid;male;4.2;7;wet;Zeus
brown;tipped;female;2.9;8;dry;Salem
white;tabby;male;4.8;9;wet;Whiskers
red;tabby;female;6.6;7;dry;Willow
red;tabby;female;3.3;7;wet;Rihanna
black;tortoise;female;4.9;7;wet;Mia
black;tortoise;female;4.8;5;dry;Jinx
black;tortoise;male;5.4;4;dry;Teddy
black;tipped;male;4.9;6;dry;Jelly Bean
red;tortoise;female;4.8;7;dry;Jazzy
black;solid;female;5.3;3;dry;Raven
red;tabby;male;4;4;other;Mango
black;solid;male;7.1;5;wet;Monstache
black;tortoise;male;5;8;dry;Gus
white;tipped;female;5.8;5;dry;Foam
black;tabby;female;3.9;6;other;Isis
brown;solid;male;5.9;4;dry;Bobo
red;tipped;female;3.8;4;dry;Cinnamon
black;tabby;male;4.4;7;dry;Ozzy
white;tortoise;male;5.3;4;dry;Sparks
black;tipped;female;3.1;7;dry;Sushi
black;tipped;female;5.7;4;dry;Fairy
white;solid;male;2.5;3;wet;Mojo
brown;tabby;female;5.1;9;wet;Jello
black;tabby;male;5.7;5;dry;Bobby
white;tabby;male;4;4;dry;Potato Chip
red;tabby;female;6.5;9;dry;Roxanne
red;tortoise;female;3.5;7;other;Bubba
black;tabby;male;5.9;11;dry;Yoshi
white;solid;female;4.8;7;dry;Mischief
white;tabby;male;5.1;2;dry;Burt
black;solid;female;6.2;17;dry;Peps
red;tabby;female;4.4;5;dry;Kilo
red;solid;female;4.5;5;wet;Cinder
red;tortoise;male;4.8;9;dry;Mexico
black;colorpoint;male;3.8;4;dry;John Doe
white;solid;female;4.7;9;dry;Joan
white;colorpoint;male;4.5;5;dry;Buddy
red;tabby;female;5.1;3;dry;Ambrella
white;tortoise;male;6.4;4;wet;Munchkin
black;tabby;female;2.6;10;dry;Sun
black;colorpoint;male;4.5;4;dry;Pickles
black;tabby;female;4.1;3;wet;Hufflepuff
brown;tabby;female;6.3;3;dry;Nikita
black;tabby;female;5.2;5;wet;Ming
brown;tabby;female;4.3;3;other;Kiwi
red;tabby;male;3.8;4;wet;Chicken
black;tortoise;male;4.2;6;dry;Bonbon
